0.000000 0.000000 69.000000 69.000000 0.000000
1.000000 0.262092 69.094097 69.356189 0.000188
26.000000 6.342781 71.290381 77.633161 0.006221
51.000000 13.257681 73.191597 86.449278 0.015049
76.000000 21.614168 74.836975 96.451143 0.027693
101.000000 31.555951 76.270463 107.826414 0.045619
126.000000 43.267938 77.533260 120.801198 0.070952
151.000000 56.983559 78.664091 135.647651 0.106860
176.000000 72.996996 79.699268 152.696264 0.158219
201.000000 91.680718 80.672773 172.353491 0.232770
226.000000 113.510589 81.616337 195.126925 0.343087
251.000000 139.102354 82.559509 221.661863 0.509978
276.000000 169.265262 83.529697 252.794959 0.768241
301.000000 205.081239 84.552162 289.633401 1.176347
326.000000 248.021697 85.649929 333.671626 1.832506
351.000000 300.118358 86.843548 386.961907 2.900979
376.000000 364.208715 88.150614 452.359329 4.654439
401.000000 444.277800 89.584864 533.862664 7.540894
426.000000 545.908792 91.154640 637.063432 12.286722
451.000000 676.820226 92.860479 769.680705 20.049863
476.000000 847.381092 94.691819 942.072911 32.635968
501.000000 1070.830048 96.623403 1167.453451 52.779090
526.000000 1362.705255 98.613113 1461.318368 84.457771
551.000000 1738.900171 100.603974 1839.504145 133.162271
576.000000 2212.175217 102.532445 2314.707662 205.968309
601.000000 2788.061071 104.341505 2892.402576 311.266645
626.000000 3462.150743 105.992684 3568.143427 458.107297
651.000000 4220.425098 107.470904 4327.896001 655.308438
676.000000 5042.395142 108.781052 5151.176194 910.605499
701.000000 5905.262424 109.940267 6015.202690 1230.069529
726.000000 6787.334117 110.970534 6898.304650 1617.866000
751.000000 7669.984161 111.893810 7781.877971 2076.290768
776.000000 8538.340735 112.729656 8651.070391 2605.971551
801.000000 9381.187367 113.494506 9494.681873 3206.138411
826.000000 10190.500282 114.201774 10304.702056 3874.901987
851.000000 10960.881976 114.862268 11075.744243 4609.508632
876.000000 11689.018799 115.484673 11804.503472 5406.560883
901.000000 12373.211651 116.075991 12489.287642 6262.201784
926.000000 13012.989735 116.641898 13129.631633 7172.266039
951.000000 13608.800910 117.187037 13725.987947 8132.402483
976.000000 14161.766904 117.715237 14279.482141 9138.172434
1001.000000 14673.491289 118.229689 14791.720978 10185.128066
1026.000000 15145.909555 118.733073 15264.642628 11268.874323
1051.000000 15581.172490 119.227666 15700.400156 12385.117297
1076.000000 15981.555858 119.715415 16101.271273 13529.701486
1101.000000 16349.390832 120.198003 16469.588835 14698.637900
1126.000000 16687.010862 120.676894 16807.687756 15888.124630
1151.000000 16996.711575 121.153373 17117.864948 17094.561224
1176.000000 17280.721027 121.628576 17402.349603 18314.557956
1201.000000 17541.178195 122.103514 17663.281709 19544.940931
1226.000000 17780.118010 122.579092 17902.697102 20782.753771
1251.000000 17999.461593 123.056126 18122.517719 22025.256532
1276.000000 18201.010592 123.535356 18324.545948 23269.922402
1301.000000 18386.444740 124.017456 18510.462197 24514.432615
1326.000000 18557.321937 124.503045 18681.824982 25756.669983
1351.000000 18715.080242 124.992691 18840.072933 26994.711361
1376.000000 18861.041336 125.486921 18986.528256 28226.819311
1401.000000 18996.415048 125.986224 19122.401272 29451.433207
1426.000000 19122.304643 126.491058 19248.795700 30667.159951
1451.000000 19239.712618 127.001850 19366.714467 31872.764483
1476.000000 19349.546803 127.519002 19477.065805 33067.160196
1501.000000 19452.626606 128.042896 19580.669502 34249.399373
1526.000000 19549.689278 128.573891 19678.263169 35418.663740
1551.000000 19641.396096 129.112329 19770.508425 36574.255200
1576.000000 19728.338383 129.658539 19857.996922 37715.586802
1601.000000 19811.043329 130.212832 19941.256161 38842.174008
1626.000000 19889.979542 130.775508 20020.755050 39953.626275
1651.000000 19965.562327 131.346856 20096.909182 41049.638987
1676.000000 20038.158660 131.927154 20170.085814 42129.985766
1701.000000 20108.091858 132.516672 20240.608530 43194.511152
1726.000000 20175.645928 133.115672 20308.761600 44243.123689
1751.000000 20241.069615 133.724405 20374.794021 45275.789402
1776.000000 20304.580137 134.343120 20438.923257 46292.525664
1801.000000 20366.366627 134.972058 20501.338684 47293.395469
1826.000000 20426.593295 135.611453 20562.204748 48278.502083
1851.000000 20485.402315 136.261535 20621.663850 49247.984075
1876.000000 20542.916450 136.922531 20679.838981 50202.010728
1901.000000 20599.241442 137.594660 20736.836103 51140.777793
1926.000000 20654.468166 138.278142 20792.746308 52064.503601
1951.000000 20708.674575 138.973188 20847.647763 52973.425501
1976.000000 20761.927445 139.680010 20901.607455 53867.796612
2001.000000 20814.283935 140.398813 20954.682749 54747.882881
2026.000000 20865.792974 141.129803 21006.922777 55613.960425
2051.000000 20916.496496 141.873179 21058.369675 56466.313135
2076.000000 20966.430528 142.629140 21109.059668 57305.230539
2101.000000 21015.626147 143.397882 21159.024028 58131.005901
2126.000000 21064.110318 144.179596 21208.289914 58943.934528
2151.000000 21111.906624 144.974473 21256.881097 59744.312295
2176.000000 21159.035893 145.782702 21304.818595 60532.434347
2201.000000 21205.516749 146.604466 21352.121215 61308.593972
2226.000000 21251.366067 147.439949 21398.806015 62073.081641
2251.000000 21296.599371 148.289330 21444.888702 62826.184180
2276.000000 21341.231168 149.152789 21490.383957 63568.184076
2301.000000 21385.275217 150.030498 21535.305715 64299.358903
2326.000000 21428.744759 150.922632 21579.667391 65019.980847
2351.000000 21471.652705 151.829360 21623.482065 65730.316331
2376.000000 21514.011777 152.750850 21666.762627 66430.625715
2401.000000 21555.834628 153.687266 21709.521895 67121.163077
2426.000000 21597.133929 154.638771 21751.772700 67802.176057
2451.000000 21637.922431 155.605524 21793.527955 68473.905756
